freq,psd_x,psd_y,psd_z,psd_xyz,zv(126.6),mzv(76.6),ei(42.8),2hump_ei(43.0),3hump_ei(115.2)
183.0,1.193e+03,9.059e+01,4.429e+01,1.328e+03,0.540,0.576,0.332,0.199,0.110
184.5,1.242e+03,1.064e+02,4.491e+01,1.393e+03,0.550,0.584,0.314,0.184,0.122
186.0,1.243e+03,1.089e+02,4.562e+01,1.398e+03,0.561,0.591,0.296,0.169,0.135
187.5,1.218e+03,1.251e+02,4.856e+01,1.391e+03,0.571,0.598,0.277,0.153,0.147
188.9,1.244e+03,1.972e+02,5.231e+01,1.493e+03,0.581,0.604,0.258,0.138,0.160
190.4,1.081e+03,1.767e+02,4.713e+01,1.305e+03,0.591,0.609,0.239,0.123,0.172
191.9,1.159e+03,1.500e+02,4.568e+01,1.355e+03,0.601,0.614,0.219,0.110,0.185
193.4,1.107e+03,1.739e+02,4.281e+01,1.323e+03,0.611,0.618,0.201,0.099,0.198
194.8,1.036e+03,1.439e+02,3.649e+01,1.217e+03,0.620,0.621,0.186,0.095,0.210
196.3,8.957e+02,1.319e+02,3.189e+01,1.060e+03,0.629,0.623,0.180,0.092,0.223
197.8,1.003e+03,2.581e+02,3.630e+01,1.297e+03,0.638,0.625,0.175,0.089,0.235
199.3,1.146e+03,4.153e+02,4.495e+01,1.606e+03,0.646,0.625,0.170,0.086,0.247
200.7,8.648e+02,2.453e+02,2.924e+01,1.139e+03,0.654,0.626,0.165,0.083,0.259
202.2,8.178e+02,3.049e+02,3.288e+01,1.156e+03,0.662,0.625,0.161,0.081,0.271
