freq,psd_x,psd_y,psd_z,psd_xyz,zv(51.8),mzv(52.6),ei(63.0),2hump_ei(78.8),3hump_ei(95.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.182e-15,1.659e-13,1.682e-15,1.688e-13,0.995,0.993,0.992,0.991,0.990
3.0,3.817e-03,1.762e-01,4.698e-03,1.848e-01,0.988,0.984,0.982,0.979,0.976
4.4,8.721e-01,1.663e+01,9.849e-01,1.849e+01,0.980,0.972,0.969,0.964,0.960
5.9,5.292e+00,8.311e+01,6.466e+00,9.487e+01,0.969,0.958,0.953,0.946,0.941
7.4,1.131e+01,1.708e+02,1.541e+01,1.976e+02,0.957,0.942,0.935,0.926,0.920
8.9,1.693e+01,2.577e+02,1.972e+01,2.944e+02,0.942,0.923,0.915,0.904,0.896
10.3,1.774e+01,3.282e+02,2.014e+01,3.661e+02,0.926,0.903,0.892,0.879,0.870
11.8,1.597e+01,3.369e+02,1.840e+01,3.713e+02,0.909,0.880,0.867,0.852,0.841
13.3,1.497e+01,3.435e+02,1.733e+01,3.758e+02,0.889,0.856,0.841,0.823,0.811
14.8,1.270e+01,3.579e+02,1.520e+01,3.859e+02,0.868,0.830,0.812,0.793,0.779
16.3,1.073e+01,4.266e+02,1.336e+01,4.507e+02,0.846,0.802,0.782,0.761,0.746
17.7,1.054e+01,4.736e+02,1.309e+01,4.972e+02,0.822,0.773,0.751,0.728,0.712
19.2,9.822e+00,5.391e+02,1.213e+01,5.610e+02,0.796,0.742,0.718,0.694,0.676
20.7,9.547e+00,6.050e+02,1.200e+01,6.266e+02,0.769,0.710,0.684,0.658,0.640
22.2,8.672e+00,6.886e+02,1.042e+01,7.077e+02,0.741,0.677,0.649,0.622,0.603
23.6,8.136e+00,7.793e+02,1.020e+01,7.976e+02,0.711,0.643,0.614,0.586,0.566
25.1,8.528e+00,9.024e+02,1.077e+01,9.217e+02,0.680,0.608,0.577,0.549,0.528
26.6,8.708e+00,1.019e+03,9.930e+00,1.038e+03,0.648,0.573,0.541,0.512,0.491
28.1,8.537e+00,1.165e+03,1.065e+01,1.184e+03,0.615,0.537,0.504,0.475,0.454
29.6,8.483e+00,1.374e+03,1.227e+01,1.395e+03,0.581,0.501,0.467,0.439,0.418
31.0,9.910e+00,1.585e+03,1.335e+01,1.608e+03,0.546,0.464,0.431,0.403,0.382
32.5,9.476e+00,1.890e+03,1.269e+01,1.912e+03,0.510,0.428,0.395,0.368,0.347
34.0,9.067e+00,2.231e+03,1.238e+01,2.252e+03,0.474,0.392,0.359,0.333,0.314
35.5,1.076e+01,2.728e+03,1.605e+01,2.755e+03,0.437,0.356,0.324,0.300,0.281
36.9,1.260e+01,3.391e+03,2.023e+01,3.424e+03,0.399,0.320,0.290,0.268,0.250
38.4,1.788e+01,4.143e+03,2.259e+01,4.183e+03,0.360,0.285,0.257,0.237,0.221
39.9,3.235e+01,4.777e+03,3.415e+01,4.844e+03,0.322,0.251,0.225,0.207,0.193
41.4,4.085e+01,6.135e+03,5.700e+01,6.233e+03,0.283,0.217,0.195,0.180,0.167
42.9,4.639e+01,9.329e+03,7.928e+01,9.454e+03,0.243,0.185,0.166,0.154,0.143
44.3,7.341e+01,1.478e+04,1.444e+02,1.500e+04,0.204,0.153,0.139,0.129,0.120
45.8,1.319e+02,2.327e+04,3.009e+02,2.371e+04,0.165,0.123,0.113,0.107,0.100
47.3,2.098e+02,3.430e+04,4.994e+02,3.501e+04,0.126,0.095,0.090,0.087,0.083
48.8,3.396e+02,4.715e+04,7.466e+02,4.824e+04,0.095,0.068,0.069,0.069,0.068
50.2,5.092e+02,5.861e+04,1.012e+03,6.014e+04,0.072,0.049,0.050,0.054,0.055
51.7,6.469e+02,6.557e+04,1.231e+03,6.745e+04,0.062,0.037,0.034,0.041,0.046
53.2,6.965e+02,5.879e+04,1.171e+03,6.066e+04,0.071,0.035,0.023,0.032,0.040
54.7,6.578e+02,4.334e+04,9.767e+02,4.498e+04,0.092,0.042,0.020,0.028,0.037
56.2,5.699e+02,3.020e+04,8.303e+02,3.160e+04,0.120,0.053,0.023,0.028,0.037
57.6,4.707e+02,2.162e+04,7.246e+02,2.281e+04,0.157,0.069,0.029,0.030,0.038
59.1,3.657e+02,1.678e+04,6.613e+02,1.781e+04,0.194,0.084,0.034,0.033,0.039
60.6,2.709e+02,1.380e+04,5.997e+02,1.467e+04,0.230,0.097,0.038,0.036,0.040
62.1,2.103e+02,1.165e+04,5.459e+02,1.240e+04,0.266,0.108,0.040,0.037,0.040
63.5,1.833e+02,9.654e+03,4.852e+02,1.032e+04,0.301,0.117,0.039,0.038,0.040
65.0,1.776e+02,7.982e+03,4.448e+02,8.605e+03,0.336,0.124,0.037,0.038,0.039
66.5,1.644e+02,6.302e+03,4.326e+02,6.899e+03,0.369,0.129,0.033,0.037,0.037
68.0,1.385e+02,4.838e+03,4.364e+02,5.412e+03,0.402,0.132,0.030,0.035,0.034
69.5,1.148e+02,3.768e+03,4.811e+02,4.364e+03,0.433,0.133,0.028,0.032,0.031
70.9,9.907e+01,2.846e+03,5.460e+02,3.491e+03,0.464,0.132,0.028,0.028,0.028
