freq,psd_x,psd_y,psd_z,psd_xyz,zv(51.8),mzv(52.6),ei(63.0),2hump_ei(78.8),3hump_ei(95.0)
72.4,1.029e+02,2.087e+03,6.475e+02,2.837e+03,0.493,0.130,0.030,0.024,0.024
73.9,1.022e+02,1.596e+03,7.820e+02,2.481e+03,0.521,0.125,0.035,0.020,0.021
75.4,1.069e+02,1.420e+03,9.296e+02,2.456e+03,0.548,0.118,0.044,0.015,0.017
76.8,9.858e+01,1.559e+03,1.050e+03,2.708e+03,0.574,0.109,0.054,0.012,0.014
78.3,9.352e+01,1.899e+03,1.081e+03,3.073e+03,0.598,0.099,0.072,0.011,0.012
79.8,1.057e+02,2.182e+03,1.016e+03,3.303e+03,0.621,0.094,0.092,0.011,0.012
81.3,1.329e+02,2.270e+03,9.508e+02,3.354e+03,0.643,0.089,0.113,0.012,0.013
82.8,1.914e+02,2.290e+03,9.067e+02,3.388e+03,0.663,0.085,0.135,0.016,0.016
84.2,2.860e+02,2.308e+03,8.277e+02,3.421e+03,0.681,0.082,0.158,0.020,0.019
85.7,3.876e+02,2.403e+03,7.334e+02,3.524e+03,0.698,0.080,0.181,0.024,0.022
87.2,3.600e+02,2.319e+03,5.569e+02,3.236e+03,0.714,0.081,0.205,0.027,0.024
88.7,3.240e+02,2.199e+03,4.148e+02,2.937e+03,0.728,0.085,0.230,0.029,0.026
90.1,2.507e+02,2.079e+03,3.273e+02,2.657e+03,0.741,0.091,0.255,0.031,0.028
91.6,1.804e+02,1.945e+03,2.693e+02,2.394e+03,0.752,0.100,0.280,0.032,0.029
93.1,2.066e+02,1.797e+03,2.257e+02,2.229e+03,0.761,0.111,0.305,0.031,0.030
94.6,2.164e+02,1.596e+03,1.959e+02,2.009e+03,0.769,0.124,0.330,0.030,0.030
96.1,2.450e+02,1.539e+03,1.710e+02,1.955e+03,0.775,0.138,0.354,0.028,0.029
97.5,2.632e+02,1.576e+03,1.509e+02,1.990e+03,0.780,0.161,0.378,0.027,0.028
99.0,3.404e+02,1.671e+03,1.333e+02,2.145e+03,0.783,0.186,0.402,0.027,0.027
100.5,4.362e+02,1.674e+03,1.150e+02,2.225e+03,0.784,0.212,0.425,0.027,0.025
102.0,6.200e+02,1.655e+03,9.879e+01,2.374e+03,0.784,0.238,0.447,0.028,0.022
103.4,8.817e+02,1.589e+03,8.266e+01,2.554e+03,0.782,0.263,0.468,0.030,0.019
104.9,1.059e+03,1.466e+03,6.857e+01,2.594e+03,0.779,0.289,0.488,0.033,0.016
106.4,1.179e+03,1.415e+03,5.967e+01,2.654e+03,0.774,0.314,0.507,0.037,0.014
107.9,1.287e+03,1.318e+03,5.052e+01,2.655e+03,0.768,0.339,0.524,0.043,0.013
109.4,1.354e+03,1.230e+03,4.560e+01,2.630e+03,0.760,0.364,0.540,0.049,0.012
110.8,1.215e+03,1.200e+03,4.586e+01,2.461e+03,0.751,0.388,0.555,0.063,0.012
112.3,1.075e+03,1.182e+03,4.396e+01,2.300e+03,0.740,0.411,0.568,0.079,0.012
113.8,9.583e+02,1.120e+03,4.140e+01,2.119e+03,0.728,0.434,0.580,0.095,0.013
115.3,8.930e+02,1.103e+03,4.089e+01,2.037e+03,0.714,0.455,0.590,0.112,0.014
116.7,1.067e+03,1.114e+03,4.122e+01,2.222e+03,0.700,0.476,0.598,0.129,0.015
118.2,1.192e+03,1.082e+03,3.698e+01,2.312e+03,0.684,0.496,0.605,0.147,0.018
119.7,1.178e+03,1.075e+03,3.546e+01,2.289e+03,0.666,0.514,0.610,0.166,0.021
121.2,1.195e+03,1.109e+03,3.495e+01,2.339e+03,0.648,0.531,0.613,0.185,0.023
122.7,1.300e+03,1.218e+03,3.619e+01,2.554e+03,0.628,0.547,0.614,0.204,0.024
124.1,1.223e+03,1.169e+03,3.239e+01,2.425e+03,0.608,0.562,0.614,0.224,0.025
125.6,1.192e+03,1.168e+03,3.353e+01,2.393e+03,0.586,0.575,0.612,0.244,0.025
127.1,1.069e+03,1.133e+03,3.476e+01,2.236e+03,0.564,0.587,0.608,0.263,0.024
128.6,1.033e+03,1.086e+03,3.402e+01,2.153e+03,0.540,0.597,0.602,0.282,0.023
130.0,1.008e+03,1.059e+03,3.387e+01,2.101e+03,0.516,0.606,0.595,0.301,0.024
131.5,1.042e+03,1.046e+03,3.331e+01,2.121e+03,0.491,0.613,0.586,0.320,0.024
133.0,1.186e+03,1.037e+03,3.168e+01,2.254e+03,0.465,0.618,0.576,0.338,0.025
134.5,1.009e+03,6.418e+02,2.139e+01,1.673e+03,0.439,0.622,0.564,0.355,0.026
136.0,6.078e+02,1.385e+02,1.136e+01,7.577e+02,0.412,0.625,0.551,0.371,0.028
137.4,4.651e+02,5.570e+01,1.032e+01,5.311e+02,0.385,0.626,0.537,0.387,0.030
138.9,4.890e+02,5.187e+01,1.060e+01,5.515e+02,0.369,0.625,0.521,0.402,0.032
140.4,4.623e+02,6.260e+01,9.877e+00,5.348e+02,0.356,0.622,0.504,0.415,0.035
141.9,4.274e+02,5.857e+01,9.759e+00,4.958e+02,0.343,0.619,0.486,0.428,0.039
143.3,4.856e+02,4.629e+01,9.420e+00,5.413e+02,0.331,0.613,0.468,0.439,0.044
144.8,4.340e+02,5.395e+01,9.298e+00,4.972e+02,0.319,0.606,0.448,0.449,0.055
146.3,3.859e+02,6.153e+01,9.886e+00,4.573e+02,0.310,0.598,0.428,0.457,0.068
147.8,4.875e+02,6.811e+01,9.092e+00,5.647e+02,0.301,0.588,0.407,0.465,0.081
149.3,4.523e+02,6.544e+01,1.082e+01,5.286e+02,0.294,0.577,0.386,0.470,0.094
150.7,4.019e+02,5.147e+01,1.032e+01,4.636e+02,0.288,0.565,0.364,0.475,0.108
152.2,3.556e+02,4.906e+01,1.177e+01,4.165e+02,0.285,0.551,0.342,0.477,0.123
153.7,3.131e+02,5.148e+01,1.186e+01,3.765e+02,0.283,0.537,0.320,0.479,0.138
155.2,3.282e+02,4.218e+01,1.227e+01,3.826e+02,0.282,0.521,0.298,0.479,0.153
156.6,2.961e+02,3.996e+01,1.256e+01,3.486e+02,0.284,0.504,0.276,0.477,0.168
158.1,2.114e+02,4.266e+01,9.027e+00,2.631e+02,0.287,0.487,0.254,0.474,0.184
159.6,1.962e+02,4.178e+01,1.037e+01,2.484e+02,0.291,0.468,0.233,0.470,0.199
161.1,2.069e+02,5.314e+01,8.964e+00,2.691e+02,0.297,0.449,0.212,0.464,0.215
162.6,2.265e+02,4.429e+01,8.973e+00,2.798e+02,0.304,0.429,0.191,0.457,0.230
164.0,2.396e+02,4.468e+01,1.338e+01,2.977e+02,0.311,0.409,0.172,0.448,0.245
165.5,2.039e+02,4.593e+01,1.237e+01,2.622e+02,0.320,0.388,0.160,0.439,0.259
167.0,2.271e+02,4.517e+01,1.708e+01,2.894e+02,0.329,0.367,0.151,0.428,0.273
168.5,2.156e+02,6.234e+01,2.411e+01,3.020e+02,0.339,0.346,0.143,0.416,0.286
169.9,1.845e+02,6.250e+01,2.510e+01,2.721e+02,0.350,0.325,0.135,0.403,0.299
171.4,1.629e+02,7.941e+01,2.895e+01,2.713e+02,0.360,0.303,0.128,0.390,0.310
172.9,1.914e+02,1.187e+02,3.962e+01,3.497e+02,0.378,0.282,0.122,0.375,0.321
174.4,2.041e+02,1.148e+02,4.037e+01,3.593e+02,0.401,0.261,0.117,0.360,0.331
175.9,1.809e+02,1.391e+02,4.363e+01,3.636e+02,0.423,0.241,0.112,0.344,0.340
177.3,1.629e+02,1.516e+02,4.937e+01,3.639e+02,0.444,0.224,0.108,0.328,0.348
178.8,1.761e+02,1.289e+02,4.731e+01,3.523e+02,0.464,0.216,0.104,0.311,0.355
180.3,2.014e+02,1.481e+02,4.848e+01,3.980e+02,0.484,0.207,0.101,0.294,0.361
181.8,1.759e+02,1.627e+02,5.199e+01,3.906e+02,0.502,0.199,0.099,0.277,0.365
183.2,1.614e+02,1.731e+02,5.366e+01,3.882e+02,0.520,0.192,0.097,0.259,0.369
184.7,1.909e+02,2.096e+02,4.415e+01,4.446e+02,0.537,0.186,0.096,0.242,0.371
186.2,1.650e+02,1.669e+02,4.230e+01,3.742e+02,0.552,0.180,0.095,0.225,0.372
187.7,1.442e+02,1.834e+02,4.234e+01,3.700e+02,0.566,0.174,0.095,0.208,0.371
189.2,1.633e+02,1.819e+02,3.566e+01,3.808e+02,0.580,0.170,0.095,0.191,0.370
190.6,1.772e+02,1.608e+02,3.780e+01,3.758e+02,0.592,0.166,0.096,0.174,0.367
192.1,2.006e+02,1.900e+02,4.260e+01,4.332e+02,0.603,0.162,0.097,0.159,0.363
193.6,1.672e+02,2.980e+02,3.653e+01,5.017e+02,0.612,0.159,0.099,0.143,0.358
195.1,2.119e+02,2.786e+02,3.586e+01,5.263e+02,0.621,0.157,0.101,0.129,0.352
196.5,2.187e+02,2.470e+02,3.651e+01,5.022e+02,0.628,0.155,0.103,0.115,0.345
198.0,1.937e+02,2.822e+02,3.802e+01,5.139e+02,0.635,0.153,0.106,0.101,0.337
199.5,2.066e+02,2.542e+02,3.415e+01,4.949e+02,0.640,0.152,0.109,0.094,0.328
201.0,2.810e+02,2.317e+02,3.334e+01,5.460e+02,0.643,0.151,0.113,0.088,0.319
202.5,3.287e+02,4.434e+02,4.133e+01,8.135e+02,0.646,0.150,0.117,0.084,0.308
